Date,Close/Last,Volume,Open,High,Low
10/22/2020,11649.75,578568,11683.50,11685.00,11545.00
10/21/2020,11691.25,598876,11675.25,11779.25,11585.00
10/20/2020,11660.75,620371,11697.50,11708.50,11621.75
10/19/2020,11650.25,618824,11816.75,11950.50,11591.25
10/16/2020,11798.00,520420,11891.00,12022.00,11792.00
10/15/2020,11874.00,588167,11950.00,11983.25,11736.50
10/14/2020,11974.25,591799,12079.75,12178.00,11901.75
10/13/2020,12094.00,732529,12100.00,12249.00,12019.00
10/12/2020,12098.25,716868,11722.75,12197.00,11687.75
10/09/2020,11724.75,401755,11562.00,11739.00,11552.50
10/08/2020,11539.00,401507,11473.25,11578.75,11469.75
10/07/2020,11470.00,438833,11220.50,11506.50,11208.00
10/06/2020,11322.25,452740,11473.00,11524.50,11286.25
10/05/2020,11469.25,391100,11308.50,11497.50,11267.50
10/02/2020,11233.25,782939,11566.75,11604.75,11204.50
10/01/2020,11574.75,559319,11375.00,11599.25,11375.00
09/30/2020,11407.25,636328,11321.00,11526.00,11167.00
09/29/2020,11337.75,437749,11388.00,11448.75,11289.50
09/28/2020,11394.75,543146,11145.00,11404.00,11140.25
09/25/2020,11136.50,582801,10914.25,11166.25,10813.75
09/24/2020,10891.75,776556,10803.50,11011.75,10660.25
09/23/2020,10829.00,651590,11160.50,11222.00,10786.00
09/22/2020,11149.50,569220,10966.25,11191.00,10897.50
09/21/2020,10989.00,720389,10920.00,11009.75,10656.50
09/18/2020,10927.00,766027,11066.50,11163.00,10742.00
09/17/2020,11075.25,813237,11257.00,11288.50,10904.25
09/16/2020,11255.00,612348,11450.25,11539.00,11223.75
09/15/2020,11464.25,217433,11278.50,11495.50,11247.75
09/14/2020,11280.50,311997,11104.00,11362.75,11104.00
09/11/2020,11061.50,481477,11187.00,11127.00,11051.00
09/10/2020,11177.25,874661,11377.75,11190.75,11130.25
09/09/2020,11392.75,704433,11006.00,11478.75,10935.25
09/08/2020,11060.50,998169,11531.00,11585.00,11040.50
09/04/2020,11548.75,1182406,11633.50,11666.00,11537.50
09/03/2020,11800.50,917780,12408.50,12438.75,11658.50
09/02/2020,12411.50,719946,12325.50,12465.25,12172.25
09/01/2020,12312.50,512504,12109.75,12328.75,12093.00
08/31/2020,12114.00,476446,12002.75,12165.00,11988.25
08/28/2020,11991.75,487264,11953.25,12018.25,11920.50
08/27/2020,11952.75,704963,11984.50,12046.00,11834.75
08/26/2020,11991.25,569615,11739.50,12001.50,11726.75
08/25/2020,11726.25,488780,11636.00,11742.25,11574.75
08/24/2020,11636.25,612739,11581.00,11722.50,11528.25
08/21/2020,11562.00,410236,11480.00,11573.50,11407.00
08/20/2020,11477.25,396544,11327.00,11496.50,11221.50
08/19/2020,11332.00,405272,11414.25,11438.00,11299.00
08/18/2020,11409.25,323690,11285.50,11415.25,11268.00
08/17/2020,11286.75,238749,11145.00,11300.50,11142.25
08/14/2020,11133.75,389897,11180.50,11237.75,11096.00
08/13/2020,11175.25,410137,11115.50,11266.00,11094.25
08/12/2020,11126.00,425574,10928.50,11185.75,10878.50
08/11/2020,10878.50,554339,11072.25,11157.75,10845.50
08/10/2020,11072.00,478964,11140.25,11156.50,10928.25
08/07/2020,11122.75,525962,11260.50,11268.00,11035.25
08/06/2020,11261.25,417626,11094.00,11271.75,11051.25
